M7	Mercury Grand Marquis
P27	Ford Mustang, Convertible ('83-'86)
U4	Ford Excursion
P24	Ford Taurus/Five Hundred; SEL, FWD ('07-up)
M89	Lincoln Town Car
P25	Ford Taurus/Five Hundred; Limited, FWD ('07-up)
U2	Lincoln Navigator
U1	Ford Expedition
M87	Lincoln LS
T6	Mercury Cougar
F25	Ford F-Series, F-250, Regular Cab, 2WD, Custom
W02	Ford F-Series, F-150, Crew Cab, Flareside, 2WD
W04	Ford F-Series, F-150, Crew Cab, Flareside, 4WD
F21	Ford F-Series, F-250, Regular Cab, 4WD
F20	Ford F-Series, F-250, Regular Cab, 2WD
T88	Ford Mustang, Coupe; Shelby GT500 ('07-up)
T89	Ford Mustang, Convertible; Shelby GT500 ('05-up)
T84	Ford Mustang, Convertible; V6 ('05-up)
T85	Ford Mustang, Convertible; GT ('05-up), Shelby GT/GT-H ('08-up)
P37	Ford Focus, Hatchback, 5-door
P38	Ford Focus, Sedan; ST
P39	Ford Focus, [unknown]
X02	Ford F-Series, F-150, Super Cab, Flareside, 2WD
P33	Ford Focus, Sedan
X04	Ford F-Series, F-150, Super Cab, Flareside, 4WD
P34	Ford Focus, Sedan
P35	Ford Focus, Wagon
P36	Ford Focus, Wagon
F36	Ford F-Series, F-350, Regular Cab, 2WD, CA XL, Dual Rear Wheels
P30	Ford Focus, Hatchback, 3-door; SVT
F37	Ford F-Series, F-350, Regular Cab, 4WD, CA XL, Dual Rear Wheels
P31	Ford Focus, Hatchback, 3-door
U80	Ford L-8000
U15	Ford Bronco
T80	Ford Mustang, Coupe; V6 ('05-up)
F30	Ford F-Series, F-350, Regular Cab, 2WD, Single Rear Wheels
T82	Ford Mustang, Coupe; GT ('05-up), Shelby GT/GT-H ('06-up)
F32	Ford F-Series, F-350, Regular Cab, 2WD, Dual Rear Wheels
W14	Ford F-Series, F-150, Crew Cab, 4WD
F31	Ford F-Series, F-350, Regular Cab, 4WD, Single Rear Wheels
W12	Ford F-Series, F-150, Crew Cab, 2WD
F33	Ford F-Series, F-350, Regular Cab, 4WD, Dual Rear Wheels
