D	Driver and Passenger Front and Side Airbags and Active Belts All positions
F	Driver and Passenger (Second Generation) Airbags and Active Belts
P	Passive belts (Manual)
B	Active belts
C	Driver Airbag and Active Belts
L	Driver and Passenger (First Generation) Airbags and Active Belts
H	Driver and Passenger Front and Side Airbags and Active Belts
K	Driver and Passenger (Second Generation) Airbags and Active Belts
