.aero,114000
.arpa,54
.biz,2290000
.cat,40
.com,1620000000
.coop,453333
.edu,516666666
.gov,353333333
.info,7300000
.jobs,231
.mil,9466666
.mobi,12
.museum,93333
.name,1073333
.net,68666666
.org,650000000
.pro,33666
.travel,4133
.ac,686666
.ad,107000
.ae,1103333
.af,33666
.ag,436666
.ai,49666
.al,129666
.am,693333
.an,26033
.ao,51000
.ap,22
.aq,12000
.ar,3566666
.as,406666
.at,7666666
.au,30333333
.aw,11466
.az,446666
.ax,9
.ba,920000
.bb,43666
.bd,114000
.be,8366666
.bf,79666
.bg,1160000
.bh,80333
.bi,20200
.bj,12066
.bm,79333
.bn,52333
.bo,530000
.br,8600000
.bs,12566
.bt,41000
.bv,18
.bw,81333
.by,846666
.bz,930000
.ca,55000000
.cc,1350000
.cd,158333
.cf,234
.cg,64333
.ch,20700000
.ci,31733
.ck,14433
.cl,6166666
.cm,39666
.cn,8900000
.co,1423333
.cr,686666
.cs,105
.cu,680000
.cv,27300
.cx,610000
.cy,833333
.cz,6266666
.de,48333333
.dj,50000
.dk,6566666
.dm,10033
.do,503333
.dz,108666
.ec,860000
.ee,2263333
.eg,996666
.eh,17
.er,5266
.es,10333333
.et,47333
.eu,15033
.fi,9366666
.fj,155333
.fk,3500
.fm,1526666
.fo,207666
.fr,32233333
.ga,5966
.gb,62
.gd,4533
.ge,826666
.gf,308
.gg,107333
.gh,35666
.gi,64333
.gl,175333
.gm,19766
.gn,6233
.gp,326
.gq,483
.gr,4500000
.gs,257333
.gt,301333
.gu,4266
.gw,8
.gy,22900
.hk,3170000
.hm,64666
.hn,209333
.hr,2026666
.ht,5900
.hu,6166666
.id,950000
.ie,5666666
.il,5933333
.im,92000
.in,3110000
.io,36000
.iq,44
.ir,980000
.is,1770000
.it,18400000
.je,67333
.jm,96666
.jo,200333
.jp,46333333
.ke,100333
.kg,480000
.kh,87333
.ki,142333
.km,177
.kn,3276
.kp,40
.kr,4566666
.kw,118666
.ky,57333
.kz,893333
.la,310666
.lb,630000
.lc,28800
.li,1330000
.lk,590000
.lr,196
.ls,27300
.lt,2013333
.lu,1646666
.lv,2323333
.ly,129333
.ma,1010000
.mc,102333
.md,1076666
.mg,85000
.mh,17
.mk,993333
.ml,24500
.mm,122333
.mn,386666
.mo,436666
.mp,287000
.mq,6333
.mr,70000
.ms,720000
.mt,550000
.mu,217000
.mv,41666
.mw,29000
.mx,4566666
.my,1536666
.mz,96000
.na,550000
.nc,88333
.ne,50333
.nf,18300
.ng,33666
.ni,1413333
.nl,15233333
.no,10766666
.np,636666
.nr,155333
.nu,1700000
.nz,6166666
.om,68000
.pa,346666
.pe,913333
.pf,80000
.pg,70333
.ph,1360000
.pk,1060000
.pl,6700000
.pm,61
.pn,26966
.pr,640000
.ps,186333
.pt,3033333
.pw,1003333
.py,320666
.qa,86333
.re,48666
.ro,2663333
.ru,22633333
.rw,43666
.sa,923333
.sb,3933
.sc,316333
.sd,3900
.se,13000000
.sg,2923333
.sh,182333
.si,1473333
.sj,12
.sk,2680000
.sl,4600
.sm,75000
.sn,167666
.so,170
.sr,80666
.st,830000
.sv,440000
.sy,38333
.sz,27166
.tc,870000
.td,110
.tf,259000
.tg,12000
.th,2156666
.tj,51000
.tk,723333
.tl,6033
.tm,45333
.tn,353333
.to,830000
.tp,50333
.tr,2770000
.tt,390000
.tv,2390000
.tw,4666666
.tz,135000
.ua,2273333
.ug,112333
.uk,157666666
.um,46
.us,22766666
.uy,673333
.uz,870000
.va,284000
.vc,79666
.ve,1016666
.vg,294000
.vi,67333
.vn,830000
.vu,1683333
.wf,10
.ws,1000000
.ye,31266
.yt,11
.yu,1090000
.za,5466666
.zm,108000
.zw,169000
